UUID,Artist,Track title,Album,Duration (milliseconds)
bf976cab-2275-3760-b854-62fc21a56fcf,Craig Chaquico,Turquoise Moon,Four Corners,261720
160462e1-1777-3197-af53-eb0e02a66665,Craig David,Walking Away,Born to Do It,204000
6a3bbfbd-bdd4-3443-8fbf-67e7e942e1ee,Crazy Town,Butterfly,The Gift Of Game,216000
07a18443-ccf8-3e19-87e5-a3149893a9b1,Crazy Town,Revolving Door,The Gift Of Game,220000
56f8a087-2203-34d7-82da-f9b77802e05d,Crematory,Awake,Act Seven,341146
2a73655b-187a-3c21-959c-1a9948bd1cd1,Crematory,Die so Soon,Monument,265000
142fa63b-7a7a-3196-907b-9e619744bf5c,Crematory,Nie Wieder,Klagebilder,253968
e82b2739-df8e-39cc-934d-ccb1a2a2cb34,Crematory,Ravens Calling,Monument,253000
c2191464-86e5-329c-a56c-68525b6dc2e0,Crematory,Tears Of Time,Illusions,299078
daa34b0f-c8d5-32a4-8288-e51c99599d77,Crematory,Temple Of Love,Awake,284414
119d587e-1fa7-3438-acc8-e1da3762900a,Daft Punk,Aerodynamic,Discovery,206648
72318362-a772-381f-be1c-012b8761dd81,Daft Punk,Around The World,Homework,427596
cd04618a-6167-3896-881a-a5436856bad1,Daft Punk,Around The World (Radio Edit),Musique Vol 1,241000
2dae1483-d8c0-3cd5-8062-8bdc37f20ed0,Daft Punk,"Around The World, Harder Better Faster Stronger",Alive 2007 CD1,341094
817e7986-9bc4-3f39-8e8b-fd1a4f61090b,Daft Punk,Get Lucky (Feat. Pharrell Williams),Random Access Memories (Japanese Edition),367900
289af410-179c-34b8-9173-fec80d9caf80,Daft Punk,"Harder, Better, Faster, Stronger",Discovery,223314
07bfb281-c7b9-36b3-8267-d3ad6b65c816,Daft Punk,Something About Us,Discovery,232670
ea1f44a1-03e9-343b-b8ba-5f2fd266ef71,"Daniel Lavoie, Luck Mervil, Bruno Pelletier",Où est-elle ?,Notre Dame de Paris - Complete Version (Live),159000
7afc7b60-79c6-3145-aa7e-0108dcedc750,Danny Feat.Therese,If Only You [Extended Version],If Only You,256620
