UUID;Artist;Track title;Album;Duration (milliseconds)
c5491b86-da34-3abb-af91-3fa0a7c4d64b;Blackmore's Night;Morning Star;Under a Violet Moon;280970
a36e91f9-81f8-3a3c-8f94-c1996499ad4d;Blind Guardian;A Past And Future Secret;Imaginations From The Other Side;228519
5de61058-da06-334b-85ec-ffa25b94d90a;Blind Guardian;Bright Eyes;Imaginations From The Other Side;316865
c3b1419f-764d-35ff-b413-8db51f984c16;Blind Guardian;Mordred's Song;Imaginations From The Other Side;329560
9f3bb4be-c662-3c5d-ad08-35e5c01bb89b;Blind Guardian;The Script For My Requiem;Imaginations From The Other Side;369136
8db78c93-ef75-37e3-bd84-1fd17ebccbee;Blind Guardian;Mirror Mirror;Nightfall In Middle Earth;306024
35d686e9-a6e0-362a-8289-356fd46a6e9e;Blind Guardian;Noldor;Nightfall In Middle Earth;412238
0b353542-cce7-3cd8-bbf3-96d0621fd7fd;Blind Guardian;The Eldar;Nightfall In Middle Earth;218296
dfacee61-fa23-3013-a93c-998e256df12b;Blind Guardian;Theatre Of Pain;Somewhere Far Beyond;256940
0e8bcbe5-b751-3f8b-9b6b-8f349aa4818e;Blind Guardian;Bright Eyes (Acoustic Version);The Forgotten Tales;262530
22206b59-b411-354c-86fd-0d9b76ddf342;Blind Guardian;Lord Of The Rings (Orchestral);The Forgotten Tales;236591
971ef318-6f6c-3066-a3c7-46a4233ae372;Blind Guardian;The Wizard (From Uriah Heep);The Forgotten Tales;197642
0d84f5b1-39ce-3d0d-a1b8-c1ccb480b303;Blind Guardian;To France (From Mike Oldfield);The Forgotten Tales;282514
c66b6fd2-1fac-3d05-b853-7785aec1b22a;Bloodhound Gang;Uhn Tiss Uhn Tiss Uhn Tiss;Hefty Fine;260000
dc9b4d18-c19e-33bb-9453-e1add634b649;Bloodhound Gang;The Ballad Of Chasey Lain;The Ballad Of Chasey Lain;141882
2e668b41-a1e2-3317-bda5-d849cd2faef5;BlueTonicWorld;Listen;The Deepest Blue Album;288845
80407157-f018-3de4-84ec-5308ba1c241b;Bobby McFerrin;Don't Worry, Be Happy;Don't Worry, Be Happy! [Disky];290011
e376f984-6aef-35ff-9900-9edc740916a5;Bon Jovi;Always;Gold rock ballads;353123
83623078-b36d-397b-b05e-bf6d8a1a6280;Breakbot;Shades Of Black;Let The Children Techno (Compiled and Mixed by Busy P & DJ Mehdi);162000
24e4daf5-6d1b-319c-99e6-2c3c7d9c8599;Bregovic & Kayah;Trudno kochac;Bregovic & Kayah;233532
44529650-abc9-36cd-bf86-46cce0fc4158;Bring Me the Horizon;True Friends;That's The Spirit;232000
2b9a9219-b69e-3f2d-9b4a-b602d01b46df;Britney Spears;Toxic;In The Zone;198000
e041b3cb-5f67-3513-aafe-d8e456ae0899;Bruce Springsteen;Cover Me;Born In The U.S.A.;205000
edd7716e-6bb0-3b41-bb01-44905795f410;Bruce Springsteen;Downbound Train;Born In The U.S.A.;215000
a3e3de59-8bf3-3e31-89d3-3f621e430075;Buddy Guy;Ain't No Sunshine featuring Tracy Chapman;Bring 'Em In/Skin Deep;204000
a7c48fd5-b0d8-3aaf-998a-230e6e0100e0;Carbon Based Lifeforms;Abiogenesis;World Of Sleepers (2015 Remaster);405000
d11f228d-962e-39e0-a0e5-76b95a36fa47;Chevry & Mebrouk;Drapeau blanc;Joueurs de Dames;220238
